case_id,source_year,stock_code_raw,stock_code_wind,dataset_split,split_reason,is_blind_test
ipo_2020_00368,2020,00368,0368.HK,development,chronological_2020_2023,false
ipo_2020_00589,2020,00589,0589.HK,development,chronological_2020_2023,false
ipo_2020_00873,2020,00873,0873.HK,development,chronological_2020_2023,false
ipo_2020_00909,2020,00909,0909.HK,development,chronological_2020_2023,false
ipo_2020_01147,2020,01147,1147.HK,development,chronological_2020_2023,false
ipo_2020_01153,2020,01153,1153.HK,development,chronological_2020_2023,false
ipo_2020_01156,2020,01156,1156.HK,development,chronological_2020_2023,false
ipo_2020_01163,2020,01163,1163.HK,development,chronological_2020_2023,false
ipo_2020_01167,2020,01167,1167.HK,development,chronological_2020_2023,false
ipo_2020_01179,2020,01179,1179.HK,development,chronological_2020_2023,false
ipo_2020_01209,2020,01209,1209.HK,development,chronological_2020_2023,false
ipo_2020_01248,2020,01248,1248.HK,development,chronological_2020_2023,false
ipo_2020_01343,2020,01343,1343.HK,development,chronological_2020_2023,false
ipo_2020_01351,2020,01351,1351.HK,development,chronological_2020_2023,false
ipo_2020_01376,2020,01376,1376.HK,development,chronological_2020_2023,false
ipo_2020_01379,2020,01379,1379.HK,development,chronological_2020_2023,false
ipo_2020_01408,2020,01408,1408.HK,development,chronological_2020_2023,false
ipo_2020_01429,2020,01429,1429.HK,development,chronological_2020_2023,false
ipo_2020_01433,2020,01433,1433.HK,development,chronological_2020_2023,false
ipo_2020_01440,2020,01440,1440.HK,development,chronological_2020_2023,false
ipo_2020_01449,2020,01449,1449.HK,development,chronological_2020_2023,false
ipo_2020_01455,2020,01455,1455.HK,development,chronological_2020_2023,false
ipo_2020_01463,2020,01463,1463.HK,development,chronological_2020_2023,false
ipo_2020_01472,2020,01472,1472.HK,development,chronological_2020_2023,false
ipo_2020_01477,2020,01477,1477.HK,development,chronological_2020_2023,false
ipo_2020_01490,2020,01490,1490.HK,development,chronological_2020_2023,false
ipo_2020_01502,2020,01502,1502.HK,development,chronological_2020_2023,false
ipo_2020_01516,2020,01516,1516.HK,development,chronological_2020_2023,false
ipo_2020_01597,2020,01597,1597.HK,development,chronological_2020_2023,false
ipo_2020_01643,2020,01643,1643.HK,development,chronological_2020_2023,false
ipo_2020_01645,2020,01645,1645.HK,development,chronological_2020_2023,false
ipo_2020_01650,2020,01650,1650.HK,development,chronological_2020_2023,false
ipo_2020_01795,2020,01795,1795.HK,development,chronological_2020_2023,false
ipo_2020_01855,2020,01855,1855.HK,development,chronological_2020_2023,false
ipo_2020_01859,2020,01859,1859.HK,development,chronological_2020_2023,false
ipo_2020_01936,2020,01936,1936.HK,development,chronological_2020_2023,false
ipo_2020_01940,2020,01940,1940.HK,development,chronological_2020_2023,false
ipo_2020_01941,2020,01941,1941.HK,development,chronological_2020_2023,false
ipo_2020_01942,2020,01942,1942.HK,development,chronological_2020_2023,false
ipo_2020_01945,2020,01945,1945.HK,development,chronological_2020_2023,false
ipo_2020_01950,2020,01950,1950.HK,development,chronological_2020_2023,false
ipo_2020_01952,2020,01952,1952.HK,development,chronological_2020_2023,false
ipo_2020_01953,2020,01953,1953.HK,development,chronological_2020_2023,false
ipo_2020_01957,2020,01957,1957.HK,development,chronological_2020_2023,false
ipo_2020_01961,2020,01961,1961.HK,development,chronological_2020_2023,false
ipo_2020_01971,2020,01971,1971.HK,development,chronological_2020_2023,false
ipo_2020_01981,2020,01981,1981.HK,development,chronological_2020_2023,false
ipo_2020_02057,2020,02057,2057.HK,development,chronological_2020_2023,false
ipo_2020_02096,2020,02096,2096.HK,development,chronological_2020_2023,false
ipo_2020_02101,2020,02101,2101.HK,development,chronological_2020_2023,false
ipo_2020_02107,2020,02107,2107.HK,development,chronological_2020_2023,false
ipo_2020_02110,2020,02110,2110.HK,development,chronological_2020_2023,false
ipo_2020_02115,2020,02115,2115.HK,development,chronological_2020_2023,false
ipo_2020_02117,2020,02117,2117.HK,development,chronological_2020_2023,false
ipo_2020_02125,2020,02125,2125.HK,development,chronological_2020_2023,false
ipo_2020_02126,2020,02126,2126.HK,development,chronological_2020_2023,false
ipo_2020_02127,2020,02127,2127.HK,development,chronological_2020_2023,false
ipo_2020_02129,2020,02129,2129.HK,development,chronological_2020_2023,false
ipo_2020_02130,2020,02130,2130.HK,development,chronological_2020_2023,false
ipo_2020_02131,2020,02131,2131.HK,development,chronological_2020_2023,false
ipo_2020_02132,2020,02132,2132.HK,development,chronological_2020_2023,false
ipo_2020_02135,2020,02135,2135.HK,development,chronological_2020_2023,false
ipo_2020_02142,2020,02142,2142.HK,development,chronological_2020_2023,false
ipo_2020_02146,2020,02146,2146.HK,development,chronological_2020_2023,false
ipo_2020_02148,2020,02148,2148.HK,development,chronological_2020_2023,false
ipo_2020_02153,2020,02153,2153.HK,development,chronological_2020_2023,false
ipo_2020_02158,2020,02158,2158.HK,development,chronological_2020_2023,false
ipo_2020_02159,2020,02159,2159.HK,development,chronological_2020_2023,false
ipo_2020_02169,2020,02169,2169.HK,development,chronological_2020_2023,false
ipo_2020_02263,2020,02263,2263.HK,development,chronological_2020_2023,false
ipo_2020_02381,2020,02381,2381.HK,development,chronological_2020_2023,false
ipo_2020_02599,2020,02599,2599.HK,development,chronological_2020_2023,false
ipo_2020_03347,2020,03347,3347.HK,development,chronological_2020_2023,false
ipo_2020_03390,2020,03390,3390.HK,development,chronological_2020_2023,false
ipo_2020_03913,2020,03913,3913.HK,development,chronological_2020_2023,false
ipo_2020_06063,2020,06063,6063.HK,development,chronological_2020_2023,false
ipo_2020_06078,2020,06078,6078.HK,development,chronological_2020_2023,false
ipo_2020_06618,2020,06618,6618.HK,development,chronological_2020_2023,false
ipo_2020_06666,2020,06666,6666.HK,development,chronological_2020_2023,false
ipo_2020_06677,2020,06677,6677.HK,development,chronological_2020_2023,false
ipo_2020_06688,2020,06688,6688.HK,development,chronological_2020_2023,false
ipo_2020_06813,2020,06813,6813.HK,development,chronological_2020_2023,false
ipo_2020_06900,2020,06900,6900.HK,development,chronological_2020_2023,false
ipo_2020_06918,2020,06918,6918.HK,development,chronological_2020_2023,false
ipo_2020_06933,2020,06933,6933.HK,development,chronological_2020_2023,false
ipo_2020_06958,2020,06958,6958.HK,development,chronological_2020_2023,false
ipo_2020_06968,2020,06968,6968.HK,development,chronological_2020_2023,false
ipo_2020_06969,2020,06969,6969.HK,development,chronological_2020_2023,false
ipo_2020_06978,2020,06978,6978.HK,development,chronological_2020_2023,false
ipo_2020_06988,2020,06988,6988.HK,development,chronological_2020_2023,false
ipo_2020_06989,2020,06989,6989.HK,development,chronological_2020_2023,false
ipo_2020_06993,2020,06993,6993.HK,development,chronological_2020_2023,false
ipo_2020_06996,2020,06996,6996.HK,development,chronological_2020_2023,false
ipo_2020_06998,2020,06998,6998.HK,development,chronological_2020_2023,false
ipo_2020_06999,2020,06999,6999.HK,development,chronological_2020_2023,false
ipo_2020_08489,2020,08489,8489.HK,development,chronological_2020_2023,false
ipo_2020_08496,2020,08496,8496.HK,development,chronological_2020_2023,false
ipo_2020_08616,2020,08616,8616.HK,development,chronological_2020_2023,false
ipo_2020_08620,2020,08620,8620.HK,development,chronological_2020_2023,false
ipo_2020_08623,2020,08623,8623.HK,development,chronological_2020_2023,false
ipo_2020_08657,2020,08657,8657.HK,development,chronological_2020_2023,false
ipo_2020_08659,2020,08659,8659.HK,development,chronological_2020_2023,false
ipo_2020_09600,2020,09600,9600.HK,development,chronological_2020_2023,false
ipo_2020_09608,2020,09608,9608.HK,development,chronological_2020_2023,false
ipo_2020_09616,2020,09616,9616.HK,development,chronological_2020_2023,false
ipo_2020_09618,2020,09618,9618.HK,development,chronological_2020_2023,false
ipo_2020_09633,2020,09633,9633.HK,development,chronological_2020_2023,false
ipo_2020_09666,2020,09666,9666.HK,development,chronological_2020_2023,false
ipo_2020_09668,2020,09668,9668.HK,development,chronological_2020_2023,false
ipo_2020_09677,2020,09677,9677.HK,development,chronological_2020_2023,false
ipo_2020_09688,2020,09688,9688.HK,development,chronological_2020_2023,false
ipo_2020_09698,2020,09698,9698.HK,development,chronological_2020_2023,false
ipo_2020_09901,2020,09901,9901.HK,development,chronological_2020_2023,false
ipo_2020_09906,2020,09906,9906.HK,development,chronological_2020_2023,false
ipo_2020_09908,2020,09908,9908.HK,development,chronological_2020_2023,false
ipo_2020_09913,2020,09913,9913.HK,development,chronological_2020_2023,false
ipo_2020_09916,2020,09916,9916.HK,development,chronological_2020_2023,false
ipo_2020_09923,2020,09923,9923.HK,development,chronological_2020_2023,false
ipo_2020_09926,2020,09926,9926.HK,development,chronological_2020_2023,false
ipo_2020_09929,2020,09929,9929.HK,development,chronological_2020_2023,false
ipo_2020_09936,2020,09936,9936.HK,development,chronological_2020_2023,false
ipo_2020_09939,2020,09939,9939.HK,development,chronological_2020_2023,false
ipo_2020_09958,2020,09958,9958.HK,development,chronological_2020_2023,false
ipo_2020_09969,2020,09969,9969.HK,development,chronological_2020_2023,false
ipo_2020_09977,2020,09977,9977.HK,development,chronological_2020_2023,false
