case_id,source_year,stock_code_raw,stock_code_wind,eod_available,eod_row_count,first_trade_date,last_trade_date,notes
ipo_2020_00368,2020,00368,0368.HK,true,1437,20200717,20260522,
ipo_2020_00589,2020,00589,0589.HK,true,1379,20200318,20251024,
ipo_2020_00873,2020,00873,0873.HK,true,1366,20201030,20260522,
ipo_2020_00909,2020,00909,0909.HK,true,1387,20200925,20260522,
ipo_2020_01147,2020,01147,1147.HK,true,1482,20200513,20260522,
ipo_2020_01153,2020,01153,1153.HK,true,1338,20201209,20260522,
ipo_2020_01156,2020,01156,1156.HK,true,1439,20200715,20260522,
ipo_2020_01163,2020,01163,1163.HK,true,1442,20200710,20260522,
ipo_2020_01167,2020,01167,1167.HK,true,1330,20201221,20260522,
ipo_2020_01179,2020,01179,1179.HK,true,1390,20200922,20260522,
ipo_2020_01209,2020,01209,1209.HK,true,1338,20201209,20260522,
ipo_2020_01248,2020,01248,1248.HK,false,0,,,document-chain/degradation use only
ipo_2020_01343,2020,01343,1343.HK,true,1522,20200312,20260522,
ipo_2020_01351,2020,01351,1351.HK,true,1358,20201111,20260522,
ipo_2020_01376,2020,01376,1376.HK,true,1486,20200507,20260522,
ipo_2020_01379,2020,01379,1379.HK,true,1324,20201230,20260522,
ipo_2020_01408,2020,01408,1408.HK,true,1397,20200911,20260522,
ipo_2020_01429,2020,01429,1429.HK,true,1385,20200929,20260522,
ipo_2020_01433,2020,01433,1433.HK,true,1522,20200312,20260522,
ipo_2020_01440,2020,01440,1440.HK,true,1315,20210113,20260522,
ipo_2020_01449,2020,01449,1449.HK,true,1423,20200806,20260522,
ipo_2020_01455,2020,01455,1455.HK,true,1395,20200915,20260522,
ipo_2020_01463,2020,01463,1463.HK,true,1511,20200327,20260522,
ipo_2020_01472,2020,01472,1472.HK,true,1519,20200317,20260522,
ipo_2020_01477,2020,01477,1477.HK,true,1442,20200710,20260522,
ipo_2020_01490,2020,01490,1490.HK,true,1313,20210115,20260522,
ipo_2020_01502,2020,01502,1502.HK,true,1446,20200706,20260522,
ipo_2020_01516,2020,01516,1516.HK,true,1352,20201119,20260522,
ipo_2020_01597,2020,01597,1597.HK,true,1373,20201020,20260522,
ipo_2020_01643,2020,01643,1643.HK,true,1313,20210115,20260522,
ipo_2020_01645,2020,01645,1645.HK,true,1467,20200603,20260522,
ipo_2020_01650,2020,01650,1650.HK,true,1447,20200703,20260522,
ipo_2020_01795,2020,01795,1795.HK,true,1353,20201118,20260522,
ipo_2020_01855,2020,01855,1855.HK,true,1320,20210106,20260522,
ipo_2020_01859,2020,01859,1859.HK,true,1201,20200313,20250203,
ipo_2020_01936,2020,01936,1936.HK,true,1482,20200513,20260522,
ipo_2020_01940,2020,01940,1940.HK,true,1325,20201229,20260522,
ipo_2020_01941,2020,01941,1941.HK,true,1521,20200313,20260522,
ipo_2020_01942,2020,01942,1942.HK,true,1500,20200415,20260522,
ipo_2020_01945,2020,01945,1945.HK,true,1324,20201230,20260522,
ipo_2020_01950,2020,01950,1950.HK,true,1522,20200312,20260522,
ipo_2020_01952,2020,01952,1952.HK,true,1379,20201009,20260522,
ipo_2020_01953,2020,01953,1953.HK,true,1491,20200428,20260522,
ipo_2020_01957,2020,01957,1957.HK,true,1444,20200708,20260522,
ipo_2020_01961,2020,01961,1961.HK,true,1519,20200317,20260522,
ipo_2020_01971,2020,01971,1971.HK,true,1445,20200707,20260522,
ipo_2020_01981,2020,01981,1981.HK,true,1439,20200715,20260522,
ipo_2020_02057,2020,02057,2057.HK,true,1385,20200929,20260522,
ipo_2020_02096,2020,02096,2096.HK,true,1369,20201027,20260522,
ipo_2020_02101,2020,02101,2101.HK,true,1392,20200918,20260522,
ipo_2020_02107,2020,02107,2107.HK,true,1371,20201022,20260522,
ipo_2020_02110,2020,02110,2110.HK,true,1340,20201207,20260522,
ipo_2020_02115,2020,02115,2115.HK,true,1041,20201015,20250108,
ipo_2020_02117,2020,02117,2117.HK,true,952,20201211,20241028,
ipo_2020_02125,2020,02125,2125.HK,true,1313,20210115,20260522,
ipo_2020_02126,2020,02126,2126.HK,true,1364,20201103,20260522,
ipo_2020_02127,2020,02127,2127.HK,true,1325,20201229,20260522,
ipo_2020_02129,2020,02129,2129.HK,true,1315,20210113,20260522,
ipo_2020_02130,2020,02130,2130.HK,true,1376,20201015,20260522,
ipo_2020_02131,2020,02131,2131.HK,true,1332,20201217,20260522,
ipo_2020_02132,2020,02132,2132.HK,true,1373,20201020,20260522,
ipo_2020_02135,2020,02135,2135.HK,true,1326,20201228,20260522,
ipo_2020_02142,2020,02142,2142.HK,true,1337,20201210,20260522,
ipo_2020_02146,2020,02146,2146.HK,true,1313,20210115,20260522,
ipo_2020_02148,2020,02148,2148.HK,true,1073,20201218,20250507,
ipo_2020_02153,2020,02153,2153.HK,true,1315,20210113,20260522,
ipo_2020_02158,2020,02158,2158.HK,true,1313,20210115,20260522,
ipo_2020_02159,2020,02159,2159.HK,true,1311,20210119,20260522,
ipo_2020_02169,2020,02169,2169.HK,true,1370,20201023,20260522,
ipo_2020_02263,2020,02263,2263.HK,true,1538,20200219,20260522,
ipo_2020_02381,2020,02381,2381.HK,true,1468,20200602,20260522,
ipo_2020_02599,2020,02599,2599.HK,true,978,20201118,20241108,
ipo_2020_03347,2020,03347,3347.HK,true,1422,20200807,20260522,
ipo_2020_03390,2020,03390,3390.HK,true,1500,20200415,20260522,
ipo_2020_03913,2020,03913,3913.HK,true,1366,20201030,20260522,
ipo_2020_06063,2020,06063,6063.HK,true,1500,20200415,20260522,
ipo_2020_06078,2020,06078,6078.HK,true,1450,20200629,20260522,
ipo_2020_06618,2020,06618,6618.HK,true,1339,20201208,20260522,
ipo_2020_06666,2020,06666,6666.HK,true,1343,20201202,20260522,
ipo_2020_06677,2020,06677,6677.HK,true,1332,20201217,20260522,
ipo_2020_06688,2020,06688,6688.HK,false,0,,,document-chain/degradation use only
ipo_2020_06813,2020,06813,6813.HK,false,0,,,document-chain/degradation use only
ipo_2020_06900,2020,06900,6900.HK,true,1215,20201117,20251024,
ipo_2020_06918,2020,06918,6918.HK,true,1518,20200318,20260522,
ipo_2020_06933,2020,06933,6933.HK,true,1439,20200715,20260522,
ipo_2020_06958,2020,06958,6958.HK,true,1442,20200710,20260522,
ipo_2020_06968,2020,06968,6968.HK,true,1439,20200715,20260522,
