case_id,source_year,stock_code_raw,stock_code_wind,dataset_split,official_match_status,official_match_method,official_listed_date,institution_id,security_id,selected_name,has_ipo_information,has_institution_info,has_delisted_info,official_ipo_price,official_offer_price,official_delisted_date,official_listing_board_id,official_list_method,official_industry_name,official_funds_raised,official_net_proceed,eod_available,first_eod_trade_date,listed_date_eod_relation,source_workbook,source_workbook_sha256,notes
ipo_2020_00368,2020,00368,0368.HK,development,matched,symbol+source_year+ipo,2020-07-17,10494128,201000001568,德合集团,true,true,false,0.63,0.6300,,P3401,股份發售,楼宇建造,"126,000,000","79,400,000",true,20200717,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_00589,2020,00589,0589.HK,development,matched,symbol+source_year+ipo,2020-03-18,10484346,201000001745,建中建设,true,true,true,1.65,1.6500,2025-10-27,P3401,股份發售,重型基建,"257,812,500","202,800,000",true,20200318,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_00873,2020,00873,0873.HK,development,matched,symbol+source_year+ipo,2020-10-30,10504944,201000001978,世茂服务,true,true,false,16.6,16.6000,,P3401,全球發售,物业服务及管理,"6,041,951,800","5,874,000,000",true,20201030,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_00909,2020,00909,0909.HK,development,matched,symbol+source_year+ipo,2020-09-25,10499568,201000002011,明源云集团,true,true,false,16.5,16.5000,,P3401,全球發售,应用软件,"7,100,511,000","6,800,400,000",true,20200925,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01147,2020,01147,1147.HK,development,matched,symbol+source_year+ipo,2020-05-13,10490298,201004188806,伊登软件,true,true,false,0.25,0.2500,,P3401,股份發售,互联网服务及基础设施,"125,000,000","74,000,000",true,20200513,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01153,2020,01153,1153.HK,development,matched,symbol+source_year+ipo,2020-12-09,10511787,201004192263,佳源服务,true,true,false,3.86,3.8600,,P3401,全球發售,物业服务及管理,"624,196,740","561,000,000",true,20201209,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01156,2020,01156,1156.HK,development,matched,symbol+source_year+ipo,2020-07-15,10494083,201000070013,China New Energy,true,true,false,0.98,0.9800,,P3401,全球發售,工业零件及器材,"80,948,000","25,000,000",true,20200715,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01163,2020,01163,1163.HK,development,matched,symbol+source_year+ipo,2020-07-10,10494053,201000002214,虎视传媒,true,true,false,0.86,0.8600,,P3401,全球發售,广告及宣传,"148,350,000","100,900,000",true,20200710,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01167,2020,01167,1167.HK,development,matched,symbol+source_year+ipo,2020-12-21,10511560,201000070011,加科思─B,true,true,false,14,14.0000,,P3401,全球發售,生物技术,"1,515,981,600","1,421,800,000",true,20201221,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01179,2020,01179,1179.HK,development,matched,symbol+source_year+ipo,2020-09-22,10681,201000002230,华住集团─S,true,true,false,297,297.0000,,P3401,全球發售,酒店及度假村,"6,975,179,000","6,823,200,000",true,20200922,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01209,2020,01209,1209.HK,development,matched,symbol+source_year+ipo,2020-12-09,10511066,201004192223,华润万象生活,true,true,false,22.3,22.3000,,P3401,全球發售,物业服务及管理,"14,104,750,000","13,812,500,000",true,20201209,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01248,2020,01248,1248.HK,development,matched,symbol+source_year+ipo,2020-11-16,10394979,201004191847,天兆猪业,true,false,false,,26.00 - 38.80,,P3401,全球發售,,"1,251,482,400","1,175,300,000",false,,no_eod_coverage,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
