case_id,source_year,source_filename,relative_path,stock_code_raw,stock_code_wind,code_match_method,disclosure_date,company_short_name,offering_type,file_size_bytes,sha256,pdf_page_count,is_text_pdf,parser_status,parser_error_count,eod_available,dataset_split,annotation_status,notes
ipo_2020_00368,2020,00368_30-06-2020_德合集團_股份發售.pdf,2020_138份/00368_30-06-2020_德合集團_股份發售.pdf,00368,0368.HK,filename_5digit_to_wind_hk_equity,2020-06-30,德合集團,股份發售,5045158,642a84775c107ebbc4a7534f88b2aba6399410937933d678b223feb342977a82,420,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_00589,2020,00589_28-02-2020_建中建設_股份發售.pdf,2020_138份/00589_28-02-2020_建中建設_股份發售.pdf,00589,0589.HK,filename_5digit_to_wind_hk_equity,2020-02-28,建中建設,股份發售,5143404,b7c9591c6f33a896d0c7a434647e8952d437b7574ad5e68395f5250c3a6abfbd,566,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_00873,2020,00873_20-10-2020_世茂服務_全球發售.pdf,2020_138份/00873_20-10-2020_世茂服務_全球發售.pdf,00873,0873.HK,filename_5digit_to_wind_hk_equity,2020-10-20,世茂服務,全球發售,11289564,008609612b52d5e56492a285d7b7c7fbcf69000ba9cbd07e85959699b0b54a63,634,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_00909,2020,00909_15-09-2020_明源雲_全球發售.pdf,2020_138份/00909_15-09-2020_明源雲_全球發售.pdf,00909,0909.HK,filename_5digit_to_wind_hk_equity,2020-09-15,明源雲,全球發售,9570557,21105eaa5dd991956a81fcbd2c046310910abce2d70701774c382f71ec45c9ae,619,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01147,2020,01147_23-04-2020_伊登軟件_股份發售.pdf,2020_138份/01147_23-04-2020_伊登軟件_股份發售.pdf,01147,1147.HK,filename_5digit_to_wind_hk_equity,2020-04-23,伊登軟件,股份發售,4993713,21b2329cafa6d778ad622522b9746976e51672710b0ab0adb4c24878c2c1b94e,458,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01153,2020,01153_27-11-2020_佳源服務_全球發售.pdf,2020_138份/01153_27-11-2020_佳源服務_全球發售.pdf,01153,1153.HK,filename_5digit_to_wind_hk_equity,2020-11-27,佳源服務,全球發售,3864357,b0d339c213e4a66f1dec7ec96606d774730ebd7e68d825f8c8daa72a433fbfea,559,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01156,2020,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,2020_138份/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,01156,1156.HK,filename_5digit_to_wind_hk_equity,2020-06-30,CHINANEWENERGY,全球發售,8043753,243573170b0fa295e6a82c49deb37689fccfbf5c2b51ff9de1ffc5f6136fb6cd,498,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01163,2020,01163_29-06-2020_虎視傳媒_全球發售.pdf,2020_138份/01163_29-06-2020_虎視傳媒_全球發售.pdf,01163,1163.HK,filename_5digit_to_wind_hk_equity,2020-06-29,虎視傳媒,全球發售,6540229,d86d79bfc91cc001c56a539c8879d4b954601d68dffda2de896a72ce5b9dd2c6,421,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01167,2020,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,2020_138份/01167_09-12-2020_加科思－Ｂ_全球發售.pdf,01167,1167.HK,filename_5digit_to_wind_hk_equity,2020-12-09,加科思－Ｂ,全球發售,7253132,2263d1fbe46705b3132c4c2a2e2a4dc2dd8d2d19d52d596489ca26cfdc01acdf,520,true,not_run,0,true,development,shadow_manual_reviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01179,2020,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,2020_138份/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,01179,1179.HK,filename_5digit_to_wind_hk_equity,2020-09-11,華住集團－Ｓ,全球發售,3729421,3527674b1cedfc58b04b07dffb1f3b3fb9332624a6688b670b93b85558682f05,599,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01209,2020,01209_25-11-2020_華潤萬象生活_全球發售.pdf,2020_138份/01209_25-11-2020_華潤萬象生活_全球發售.pdf,01209,1209.HK,filename_5digit_to_wind_hk_equity,2020-11-25,華潤萬象生活,全球發售,9646090,f4d6e775ba459263962782159b072ddbd36dab7a71bbc715700db787d4ddaf12,576,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01248,2020,01248_29-10-2020_天兆豬業_全球發售.pdf,2020_138份/01248_29-10-2020_天兆豬業_全球發售.pdf,01248,1248.HK,filename_5digit_to_wind_hk_equity,2020-10-29,天兆豬業,全球發售,4868059,8674fb5eb52e373b41c7c27e63f29a5af61d773ad25323e34921bfe951aacdee,594,true,not_run,0,false,development,unreviewed,B1 metadata inspection only; production Parser not run; no EOD coverage; document-chain/degradation use only
ipo_2020_01343,2020,01343_25-02-2020_偉源控股_股份發售.pdf,2020_138份/01343_25-02-2020_偉源控股_股份發售.pdf,01343,1343.HK,filename_5digit_to_wind_hk_equity,2020-02-25,偉源控股,股份發售,8652631,f147411d70bc94c29efc37289124c029569aa8d1396703e5ff164597feaf8847,482,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01351,2020,01351_28-10-2020_輝煌明天_股份發售.pdf,2020_138份/01351_28-10-2020_輝煌明天_股份發售.pdf,01351,1351.HK,filename_5digit_to_wind_hk_equity,2020-10-28,輝煌明天,股份發售,5656533,5611e4e9c80c2a0ce2b1c58ba3c76ffe82b602ca256cd6e663aeab689de81522,487,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01376,2020,01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,2020_138份/01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,01376,1376.HK,filename_5digit_to_wind_hk_equity,2020-04-21,RAFFLESINTERIOR,股份發售,5836699,32e57fd5305c9f25d94651fd200825d2aba18785b827fdab824feda2532ff423,454,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01379,2020,01379_11-12-2020_温嶺工量刃具_全球發售.pdf,2020_138份/01379_11-12-2020_温嶺工量刃具_全球發售.pdf,01379,1379.HK,filename_5digit_to_wind_hk_equity,2020-12-11,温嶺工量刃具,全球發售,7902331,c58767bfd4252a06f552499b64c4b5dc8a4f7508387bad476433533dd9bc936d,510,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01408,2020,01408_31-08-2020_濠江機電_全球發售.pdf,2020_138份/01408_31-08-2020_濠江機電_全球發售.pdf,01408,1408.HK,filename_5digit_to_wind_hk_equity,2020-08-31,濠江機電,全球發售,3944369,400222a946ae16db10f27cf06a19d47d56699dacf59e94a5b8038daece4b0306,503,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01429,2020,01429_15-09-2020_天任集團_股份發售.pdf,2020_138份/01429_15-09-2020_天任集團_股份發售.pdf,01429,1429.HK,filename_5digit_to_wind_hk_equity,2020-09-15,天任集團,股份發售,9330537,b92f95737d1ce88b4c81bf6a05216bb5ba67469fc275bf8ebf7a593e67ce4b4f,494,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01433,2020,01433_28-02-2020_常達控股_全球發售.pdf,2020_138份/01433_28-02-2020_常達控股_全球發售.pdf,01433,1433.HK,filename_5digit_to_wind_hk_equity,2020-02-28,常達控股,全球發售,3834875,fd22e0f948801bda2f0f1e3dd3928f17f7aa7a672200a6464443cdcdea379f90,486,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01440,2020,01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,2020_138份/01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,01440,1440.HK,filename_5digit_to_wind_hk_equity,2020-12-28,DEYUN HOLDING,股份發售,12558476,bb6a5447f7452d674a4f46fc231e339b06f366e879b216a5b6047d016fcc2f66,533,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01449,2020,01449_27-07-2020_立德教育_全球發售.pdf,2020_138份/01449_27-07-2020_立德教育_全球發售.pdf,01449,1449.HK,filename_5digit_to_wind_hk_equity,2020-07-27,立德教育,全球發售,6612279,9db272bce6367a5284e710df71b62751da844f2476b62ad8baf7f02118c657cd,611,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01455,2020,01455_31-08-2020_科利實業控股_全球發售.pdf,2020_138份/01455_31-08-2020_科利實業控股_全球發售.pdf,01455,1455.HK,filename_5digit_to_wind_hk_equity,2020-08-31,科利實業控股,全球發售,9977097,0287c7ed8cb9f299a3e3441efbfbf4d87fa7a8862db0acd9ee21ae997f84e989,494,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01463,2020,01463_17-03-2020_C-LINK SQ_股份發售.pdf,2020_138份/01463_17-03-2020_C-LINK SQ_股份發售.pdf,01463,1463.HK,filename_5digit_to_wind_hk_equity,2020-03-17,C-LINK SQ,股份發售,7360021,de7774e49d7af4817dd43ce40ff8a68115fecab7d3ffa11f11e01537a7860c3b,508,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01472,2020,01472_28-02-2020_生興控股_股份發售.pdf,2020_138份/01472_28-02-2020_生興控股_股份發售.pdf,01472,1472.HK,filename_5digit_to_wind_hk_equity,2020-02-28,生興控股,股份發售,4816276,c93ea0233bbf412ca584455c39740ea29d9dea7c7a086950f109e4c2037deafd,454,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01477,2020,01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,2020_138份/01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,01477,1477.HK,filename_5digit_to_wind_hk_equity,2020-06-29,歐康維視生物－Ｂ,全球發售,10283461,20ed8efc77d73cb7d26f9aa1cab10d50cdf873022058242e7f6189f508fbd1e8,578,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01490,2020,01490_31-12-2020_CHESHI_全球發售.pdf,2020_138份/01490_31-12-2020_CHESHI_全球發售.pdf,01490,1490.HK,filename_5digit_to_wind_hk_equity,2020-12-31,CHESHI,全球發售,50273943,258be358f8cd4690af28da4db25a2fe85a6e273a91bfe806ccb7a4085d463a6d,531,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01502,2020,01502_19-06-2020_金融街物業_全球發售.pdf,2020_138份/01502_19-06-2020_金融街物業_全球發售.pdf,01502,1502.HK,filename_5digit_to_wind_hk_equity,2020-06-19,金融街物業,全球發售,6293087,4ca77ab7d3d798f9f6b2dc6a417ae94b461070fe0a9f18a82d5a3c7fb2ad2c6c,576,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01516,2020,01516_09-11-2020_融創服務_全球發售.pdf,2020_138份/01516_09-11-2020_融創服務_全球發售.pdf,01516,1516.HK,filename_5digit_to_wind_hk_equity,2020-11-09,融創服務,全球發售,5569445,b584f0d0afe9afb26cdcca39a66383c9d6ddaae5c54661d88c80261534b33cbb,668,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01597,2020,01597_29-09-2020_納泉能源科技_全球發售.pdf,2020_138份/01597_29-09-2020_納泉能源科技_全球發售.pdf,01597,1597.HK,filename_5digit_to_wind_hk_equity,2020-09-29,納泉能源科技,全球發售,7454201,93dc74d5ae177432674281f375d88d077af2d0ac806a88b7ec12ec3b6f76eb23,550,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01643,2020,01643_31-12-2020_現代中藥集團_全球發售.pdf,2020_138份/01643_31-12-2020_現代中藥集團_全球發售.pdf,01643,1643.HK,filename_5digit_to_wind_hk_equity,2020-12-31,現代中藥集團,全球發售,8947356,1af6d11bf3bcae6e89461d59e8e3a6641e77ceab10b295b588b0b8c1652b37c4,563,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01645,2020,01645_20-05-2020_海納智能_股份發售.pdf,2020_138份/01645_20-05-2020_海納智能_股份發售.pdf,01645,1645.HK,filename_5digit_to_wind_hk_equity,2020-05-20,海納智能,股份發售,8209508,af0007c439e63233257e5dad87e69e6d1132914779e5455298be7775e4ecf7b1,430,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01650,2020,01650_12-06-2020_HYGIEIA GROUP_以股份發售方式.pdf,2020_138份/01650_12-06-2020_HYGIEIA GROUP_以股份發售方式.pdf,01650,1650.HK,filename_5digit_to_wind_hk_equity,2020-06-12,HYGIEIA GROUP,以股份發售方式,8232873,7a058d27004e1d24e1f64378ed6ecb97161f8c3e00e01cf5a35e086e9664af87,453,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01795,2020,01795_30-10-2020_亞東集團_股份發售.pdf,2020_138份/01795_30-10-2020_亞東集團_股份發售.pdf,01795,1795.HK,filename_5digit_to_wind_hk_equity,2020-10-30,亞東集團,股份發售,6483323,e5b9354a5590243b318ae30e8480871e73f44837ce71c0982ce21613d9d7e8eb,497,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01855,2020,01855_22-12-2020_中邦環境_全球發售.pdf,2020_138份/01855_22-12-2020_中邦環境_全球發售.pdf,01855,1855.HK,filename_5digit_to_wind_hk_equity,2020-12-22,中邦環境,全球發售,50533847,941162f04c41bdb5c3c59149fd22c9af5f057f1c8c26551b3f8f6f3158b7a2ae,746,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01859,2020,01859_28-02-2020_煜盛文化_全球發售.pdf,2020_138份/01859_28-02-2020_煜盛文化_全球發售.pdf,01859,1859.HK,filename_5digit_to_wind_hk_equity,2020-02-28,煜盛文化,全球發售,5507865,2ed0b0e3261af103a03baabfb9ba0c4f8e425e39afbf9843dd02d84401fbf07d,426,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01936,2020,01936_24-04-2020_RITAMIX_股份發售.pdf,2020_138份/01936_24-04-2020_RITAMIX_股份發售.pdf,01936,1936.HK,filename_5digit_to_wind_hk_equity,2020-04-24,RITAMIX,股份發售,24195534,df37b942a92913e98ffe5707a8b7535e40ffc47a8d380d2be768b604a9edfb09,430,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
ipo_2020_01940,2020,01940_16-12-2020_CGII HLDGS_全球發售.pdf,2020_138份/01940_16-12-2020_CGII HLDGS_全球發售.pdf,01940,1940.HK,filename_5digit_to_wind_hk_equity,2020-12-16,CGII HLDGS,全球發售,13648224,fe6db77587f58202531c6cddb44e0d2f184e6dbc81e727db247a0ff8581d798a,553,true,not_run,0,true,development,unreviewed,B1 metadata inspection only; production Parser not run
