case_id,source_year,archive_filename,source_filename,stock_code_raw,stock_code_wind,company_short_name,offering_type,selection_tags,manual_review
shadow_2020_01167,2020,2020_138份.zip,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,01167,1167.HK,加科思－Ｂ,全球發售,biotech|pre_revenue|traditional_chinese,true
shadow_2020_02126,2020,2020_138份.zip,02126_22-10-2020_藥明巨諾－Ｂ_全球發售.pdf,02126,2126.HK,藥明巨諾－Ｂ,全球發售,biotech|large_pdf|complex_tables,false
shadow_2020_06688,2020,2020_138份.zip,06688_26-10-2020_螞蟻集團_H股首次公開發售.pdf,06688,6688.HK,螞蟻集團,H股首次公開發售,h_share|special_offering|technology,true
shadow_2020_08489,2020,2020_138份.zip,08489_30-12-2020_裕程物流_以股份發售方式於香港聯合交易所有限公司GEM上市.pdf,08489,8489.HK,裕程物流,以股份發售方式於香港聯合交易所有限公司GEM上市,gem|share_offering|logistics,true
shadow_2020_09633,2020,2020_138份.zip,09633_25-08-2020_農夫山泉_全球發售.pdf,09633,9633.HK,農夫山泉,全球發售,consumer|profitable|large_company,false
shadow_2021_00013,2021,2021_88份.zip,00013_18-06-2021_和黃醫藥_全球發售.pdf,00013,13.HK,和黃醫藥,全球發售,biotech|english_mixed|complex_tables,true
shadow_2021_02161,2021,2021_88份.zip,02161_26-01-2021_健倍苗苗_公開發售.pdf,02161,2161.HK,健倍苗苗,公開發售,public_offering|healthcare|traditional_business,false
shadow_2021_02209,2021,2021_88份.zip,02209_28-06-2021_喆麗控股_全球發售.pdf,02209,2209.HK,喆麗控股,全球發售,ecommerce|low_text_density|traditional_business,false
shadow_2021_02378,2021,2021_88份.zip,02378_20-09-2021_保誠_售股章程 - 股份發售.pdf,02378,2378.HK,保誠,售股章程 - 股份發售,special_prospectus|insurance|small_pdf,true
shadow_2021_06821,2021,2021_88份.zip,06821_30-11-2021_凱萊英_全球發售.pdf,06821,6821.HK,凱萊英,全球發售,h_share|pharmaceutical|low_text_density,false
shadow_2022_01244,2022,2022_87份.zip,01244_29-11-2022_3D MEDICINES-B_全球發售.pdf,01244,1244.HK,3D MEDICINES-B,全球發售,biotech|english_mixed|large_pdf,true
shadow_2022_01489,2022,2022_87份.zip,01489_23-09-2022_GC CONSTRUCTION_股份發售.pdf,01489,1489.HK,GC CONSTRUCTION,股份發售,share_offering|construction|english_name,false
shadow_2022_01947,2022,2022_87份.zip,01947_30-11-2022_美皓集團_全球發售.pdf,01947,1947.HK,美皓集團,全球發售,healthcare|small_pdf|traditional_business,true
shadow_2022_04801,2022,2022_87份.zip,04801_09-09-2022_INTERRA ACQ Z25_發售A類股份及上市認股權證.pdf,04801,4801.HK,INTERRA ACQ Z25,發售A類股份及上市認股權證,spac|special_offering|english_mixed,true
shadow_2022_09696,2022,2022_87份.zip,09696_30-06-2022_天齊鋰業_全球發售.pdf,09696,9696.HK,天齊鋰業,全球發售,h_share|energy|large_pdf,false
shadow_2023_01541,2023,2023_63份.zip,01541_24-08-2023_宜明昂科－Ｂ_全球發售.pdf,01541,1541.HK,宜明昂科－Ｂ,全球發售,biotech|pre_revenue|complex_tables,true
shadow_2023_02409,2023,2023_63份.zip,02409_14-03-2023_洲際船務_全球發售.pdf,02409,2409.HK,洲際船務,全球發售,shipping|traditional_business|profitable,false
shadow_2023_02503,2023,2023_63份.zip,02503_28-12-2023_中深建業_股份發售.pdf,02503,2503.HK,中深建業,股份發售,share_offering|construction|small_pdf,true
shadow_2023_09690,2023,2023_63份.zip,09690_14-09-2023_途虎－Ｗ_全球發售.pdf,09690,9690.HK,途虎－Ｗ,全球發售,technology|weighted_voting|large_pdf,false
shadow_2024_00300,2024,2024_73份.zip,00300_09-09-2024_美的集團_全球發售.pdf,00300,300.HK,美的集團,全球發售,h_share|manufacturing|large_company,true
shadow_2024_01354,2024,2024_73份.zip,01354_24-06-2024_經發物業_全球發售.pdf,01354,1354.HK,經發物業,全球發售,property_service|small_pdf|traditional_business,false
shadow_2024_02228,2024,2024_73份.zip,02228_04-06-2024_QUANTUMPH-P_全球發售.pdf,02228,2228.HK,QUANTUMPH-P,全球發售,biotech|specialist_technology|english_mixed,true
shadow_2024_02510,2024,2024_73份.zip,02510_24-10-2024_德翔海運_全球發售.pdf,02510,2510.HK,德翔海運,全球發售,shipping|small_pdf|traditional_business,false
shadow_2024_09639,2024,2024_73份.zip,09639_27-09-2024_榮利營造_股份發售.pdf,09639,9639.HK,榮利營造,股份發售,share_offering|construction|large_pdf,false
