taskset_version,case_id,stock_code,company_name,source_year,dataset_split,page_count,pdf_sha256,packet_path,source_validation_status
expert_golden_100_v1,ipo_2020_00368,0368.HK,德合集團,2020,development,420,642a84775c107ebbc4a7534f88b2aba6399410937933d678b223feb342977a82,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_00368,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_01167,1167.HK,加科思－Ｂ,2020,development,520,2263d1fbe46705b3132c4c2a2e2a4dc2dd8d2d19d52d596489ca26cfdc01acdf,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_01167,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_01408,1408.HK,濠江機電,2020,development,503,400222a946ae16db10f27cf06a19d47d56699dacf59e94a5b8038daece4b0306,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_01408,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_01942,1942.HK,MOG HOLDINGS,2020,development,422,3ebcaf5da05e1b9f32b1aa14098ed396b04fdcf0543dc87703125f5c56caf3bb,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_01942,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_01961,1961.HK,九尊數字互娛,2020,development,598,18be934a7173d7d26738ad563536dc5542d15015725822ff9e254d23737d611b,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_01961,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_02057,2057.HK,中通快遞－ＳＷ,2020,development,386,521c1b742aa384a7e6d4e062fabf2db097c5b2dbe9f870d4672fb0ce7cfd392a,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_02057,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_02135,2135.HK,瑞麗醫美,2020,development,606,9aaa6a7245cb9629ac31a2955049ec834cedf05ab28b41ba24515ba58799a0dc,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_02135,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_02263,2263.HK,富石金融,2020,development,530,d1b350f04dd5859fe25ceb6ab4197c443bfa82bbfaef4d82310c7c776788194c,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_02263,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_02599,2599.HK,祥生控股集團,2020,development,906,2a15fa8876dbbbbaa5363a8d15e1c1888a09006f39251e4e3980904af8d2ecde,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_02599,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_03347,3347.HK,泰格醫藥,2020,development,692,b23e631896c4c40fb47309b3a4fe1f282dc54ba338805820a5e439946f7fa55b,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_03347,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_06063,6063.HK,智中國際,2020,development,476,b1ee364b8d449c72bee552da969dfb05f8bd34a01ad02233d0468957a0012741,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_06063,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_06618,6618.HK,京東健康,2020,development,558,37762cd54042ca0e15c35e1c6dc13532ac13365d9ac7fb1f145608c0e23d8e5c,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_06618,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_06688,6688.HK,螞蟻集團,2020,development,752,a1f87c72f4631cbe9567b2a04c25b00f75ff5d57dfc339601cde93f8225ddcd0,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_06688,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_06900,6900.HK,上坤地產,2020,development,883,dd1a3d2d44eed483b018cfb6c32853993eb4435b6dc6b27e09ca31e310893dda,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_06900,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_06968,6968.HK,港龍中國地產,2020,development,635,070505746a931b3e2e7423864f5fa93f5a8774905838939fa1a3a326d5458b94,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_06968,validated_from_catalog_metadata
expert_golden_100_v1,ipo_2020_08489,8489.HK,裕程物流,2020,development,430,44b6b4041bc32772c62b176b882f66f7878d176f1864194f5208c4258064b592,docs/annotation/gpt_expert_v1_1/case_packets/ipo_2020_08489,validated_from_catalog_metadata
