task_index,taskset_version,case_id,stock_code,company_name,source_year,dataset_split,primary_annotator,primary_status,second_pass_annotator,second_pass_status,adjudication_status,final_status,notes
1,expert_golden_100_v1,ipo_2020_00368,0368.HK,德合集團,2020,development,,completed,,not_started,not_started,not_started,
2,expert_golden_100_v1,ipo_2020_01167,1167.HK,加科思－Ｂ,2020,development,,completed,,not_started,not_started,not_started,
3,expert_golden_100_v1,ipo_2020_01408,1408.HK,濠江機電,2020,development,,completed,,not_started,not_started,not_started,
4,expert_golden_100_v1,ipo_2020_01942,1942.HK,MOG HOLDINGS,2020,development,,not_started,,not_started,not_started,not_started,
5,expert_golden_100_v1,ipo_2020_01961,1961.HK,九尊數字互娛,2020,development,,not_started,,not_started,not_started,not_started,
6,expert_golden_100_v1,ipo_2020_02057,2057.HK,中通快遞－ＳＷ,2020,development,,not_started,,not_started,not_started,not_started,
7,expert_golden_100_v1,ipo_2020_02135,2135.HK,瑞麗醫美,2020,development,,not_started,,not_started,not_started,not_started,
8,expert_golden_100_v1,ipo_2020_02263,2263.HK,富石金融,2020,development,,not_started,,not_started,not_started,not_started,
9,expert_golden_100_v1,ipo_2020_02599,2599.HK,祥生控股集團,2020,development,,not_started,,not_started,not_started,not_started,
10,expert_golden_100_v1,ipo_2020_03347,3347.HK,泰格醫藥,2020,development,,not_started,,not_started,not_started,not_started,
11,expert_golden_100_v1,ipo_2020_06063,6063.HK,智中國際,2020,development,,not_started,,not_started,not_started,not_started,
12,expert_golden_100_v1,ipo_2020_06618,6618.HK,京東健康,2020,development,,not_started,,not_started,not_started,not_started,
13,expert_golden_100_v1,ipo_2020_06688,6688.HK,螞蟻集團,2020,development,,not_started,,not_started,not_started,not_started,
14,expert_golden_100_v1,ipo_2020_06900,6900.HK,上坤地產,2020,development,,not_started,,not_started,not_started,not_started,
15,expert_golden_100_v1,ipo_2020_06968,6968.HK,港龍中國地產,2020,development,,not_started,,not_started,not_started,not_started,
16,expert_golden_100_v1,ipo_2020_08489,8489.HK,裕程物流,2020,development,,not_started,,not_started,not_started,not_started,
17,expert_golden_100_v1,ipo_2020_09600,9600.HK,新紐科技,2020,development,,not_started,,not_started,not_started,not_started,
18,expert_golden_100_v1,ipo_2020_09633,9633.HK,農夫山泉,2020,development,,not_started,,not_started,not_started,not_started,
19,expert_golden_100_v1,ipo_2020_09901,9901.HK,新東方－Ｓ,2020,development,,not_started,,not_started,not_started,not_started,
20,expert_golden_100_v1,ipo_2020_09986,9986.HK,大山教育,2020,development,,not_started,,not_started,not_started,not_started,
21,expert_golden_100_v1,ipo_2021_00013,0013.HK,和黃醫藥,2021,development,,not_started,,not_started,not_started,not_started,
22,expert_golden_100_v1,ipo_2021_00606,0606.HK,中駿商管,2021,development,,not_started,,not_started,not_started,not_started,
23,expert_golden_100_v1,ipo_2021_01024,1024.HK,快手－Ｗ,2021,development,,not_started,,not_started,not_started,not_started,
24,expert_golden_100_v1,ipo_2021_01413,1413.HK,廣聯工程控股,2021,development,,not_started,,not_started,not_started,not_started,
25,expert_golden_100_v1,ipo_2021_01927,1927.HK,久久王,2021,development,,not_started,,not_started,not_started,not_started,
26,expert_golden_100_v1,ipo_2021_02015,2015.HK,理想汽車－Ｗ,2021,development,,not_started,,not_started,not_started,not_started,
27,expert_golden_100_v1,ipo_2021_02137,2137.HK,騰盛博藥－Ｂ,2021,development,,not_started,,not_started,not_started,not_started,
28,expert_golden_100_v1,ipo_2021_02160,2160.HK,心通醫療－Ｂ,2021,development,,not_started,,not_started,not_started,not_started,
29,expert_golden_100_v1,ipo_2021_02190,2190.HK,歸創通橋－Ｂ,2021,development,,not_started,,not_started,not_started,not_started,
30,expert_golden_100_v1,ipo_2021_02215,2215.HK,德信服務集團,2021,development,,not_started,,not_started,not_started,not_started,
31,expert_golden_100_v1,ipo_2021_02235,2235.HK,微泰醫療－Ｂ,2021,development,,not_started,,not_started,not_started,not_started,
32,expert_golden_100_v1,ipo_2021_02518,2518.HK,汽車之家－Ｓ,2021,development,,not_started,,not_started,not_started,not_started,
33,expert_golden_100_v1,ipo_2021_03658,3658.HK,新希望服務,2021,development,,not_started,,not_started,not_started,not_started,
34,expert_golden_100_v1,ipo_2021_06601,6601.HK,朝雲集團,2021,development,,not_started,,not_started,not_started,not_started,
35,expert_golden_100_v1,ipo_2021_06628,6628.HK,創勝集團－Ｂ,2021,development,,not_started,,not_started,not_started,not_started,
36,expert_golden_100_v1,ipo_2021_06668,6668.HK,星盛商業,2021,development,,not_started,,not_started,not_started,not_started,
37,expert_golden_100_v1,ipo_2021_06821,6821.HK,凱萊英,2021,development,,not_started,,not_started,not_started,not_started,
38,expert_golden_100_v1,ipo_2021_09626,9626.HK,嗶哩嗶哩－ＳＷ,2021,development,,not_started,,not_started,not_started,not_started,
39,expert_golden_100_v1,ipo_2021_09898,9898.HK,微博－ＳＷ,2021,development,,not_started,,not_started,not_started,not_started,
40,expert_golden_100_v1,ipo_2021_09982,9982.HK,中原建業,2021,development,,not_started,,not_started,not_started,not_started,
41,expert_golden_100_v1,ipo_2022_00314,0314.HK,思派健康,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
42,expert_golden_100_v1,ipo_2022_00816,0816.HK,金茂服務,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
43,expert_golden_100_v1,ipo_2022_01204,1204.HK,博維智慧,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
44,expert_golden_100_v1,ipo_2022_01406,1406.HK,清晰醫療,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
45,expert_golden_100_v1,ipo_2022_01880,1880.HK,中國中免,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
46,expert_golden_100_v1,ipo_2022_02121,2121.HK,創新奇智,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
