run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
ablation/ablation_001,ablation,complete,ablation_summary.json,gated,10,3,30,0.1,4,48,0.08333333333333333,0,0,0,0,0,0,False,False,5
ablation/ablation_002,ablation,complete,ablation_summary.json,gated,10,7,30,0.23333333333333334,8,48,0.16666666666666666,10,35,36,1,0,1,False,False,5
ablation/ablation_003,ablation,complete,ablation_summary.json,gated,10,6,30,0.2,10,48,0.20833333333333334,10,36,36,0,0,0,False,False,5
ablation/batch002_financial_replay_after,ablation,complete,ablation_summary.json,offline,10,5,30,0.16666666666666666,9,48,0.1875,0,0,0,0,0,0,False,False,5
ablation/batch002_financial_replay_after_final,ablation,complete,ablation_summary.json,offline,10,5,30,0.16666666666666666,9,48,0.1875,0,0,0,0,0,0,False,False,5
ablation/batch002_financial_replay_after_v2,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/batch002_financial_replay_before,ablation,complete,ablation_summary.json,offline,10,5,30,0.16666666666666666,7,48,0.14583333333333334,0,0,0,0,0,0,False,False,5
ablation/batch010_dev20_offline,ablation,complete,ablation_summary.json,offline,20,13,50,0.26,25,98,0.25510204081632654,0,0,0,0,0,0,False,False,5
ablation/batch010_ranked_table_evidence_dev20_offline,ablation,complete,ablation_summary.json,offline,20,14,50,0.28,28,98,0.2857142857142857,0,0,0,0,0,0,False,False,5
ablation/batch010_ranked_table_evidence_fixed10,ablation,complete,ablation_summary.json,offline,10,10,30,0.3333333333333333,18,48,0.375,10,37,40,3,0,3,False,False,5
ablation/batch010_ranked_table_evidence_probe_00368,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/batch010_ranked_table_evidence_probe_00368b,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/batch010_ranked_table_probe_00368,ablation,complete,ablation_summary.json,offline,1,1,3,0.3333333333333333,2,8,0.25,0,0,0,0,0,0,False,False,5
ablation/batch011_dev40_offline_baseline,ablation,complete,ablation_summary.json,offline,40,16,80,0.2,35,166,0.21084337349397592,0,0,0,0,0,0,False,False,5
ablation/batch012_chinese_two_month_period_targeted,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,2,9,0.2222222222222222,0,0,0,0,0,0,False,False,5
ablation/batch013_companion_series_targeted,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,5,9,0.5555555555555556,0,0,0,0,0,0,False,False,5
ablation/batch014_dev40_companion_series,ablation,complete,ablation_summary.json,offline,40,17,80,0.2125,38,166,0.2289156626506024,0,0,0,0,0,0,False,False,5
ablation/batch015_companion_series_fixed10_journal,ablation,complete,ablation_summary.json,offline,10,10,30,0.3333333333333333,18,48,0.375,10,37,40,3,0,3,False,False,5
ablation/batch016_fresh_checkpoint,ablation,complete,ablation_summary.json,gated,10,12,30,0.4,21,48,0.4375,10,37,40,3,0,3,False,False,5
ablation/batch017_cache_fresh_checkpoint,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
