case_id,stock_code,company_name,document_id,risk_code,candidate_page,second_applicable,second_gold_page,second_exact_text,second_expected_status,second_expected_level,second_reason,second_reviewer,reviewed_at
ipo_2020_01167,1167.HK,加科思－Ｂ,ipo_2020_01167,continuous_loss,416,,,,,,,,
ipo_2020_01167,1167.HK,加科思－Ｂ,ipo_2020_01167,supplier_concentration,287,,,,,,,,
ipo_2020_08489,8489.HK,裕程物流,ipo_2020_08489,revenue_growth,299,,,,,,,,
ipo_2020_08489,8489.HK,裕程物流,ipo_2020_08489,continuous_loss,299,,,,,,,,
ipo_2020_08489,8489.HK,裕程物流,ipo_2020_08489,customer_concentration,142,,,,,,,,
ipo_2020_08489,8489.HK,裕程物流,ipo_2020_08489,supplier_concentration,152,,,,,,,,
ipo_2023_01541,1541.HK,宜明昂科－Ｂ,ipo_2023_01541,continuous_loss,384,,,,,,,,
ipo_2023_01541,1541.HK,宜明昂科－Ｂ,ipo_2023_01541,revenue_growth,384,,,,,,,,
ipo_2023_01541,1541.HK,宜明昂科－Ｂ,ipo_2023_01541,customer_concentration,331,,,,,,,,
ipo_2023_01541,1541.HK,宜明昂科－Ｂ,ipo_2023_01541,supplier_concentration,329,,,,,,,,
ipo_2023_02503,2503.HK,中深建業,ipo_2023_02503,continuous_loss,250,,,,,,,,
ipo_2023_02503,2503.HK,中深建業,ipo_2023_02503,revenue_growth,250,,,,,,,,
ipo_2023_02503,2503.HK,中深建業,ipo_2023_02503,customer_concentration,165,,,,,,,,
ipo_2023_02503,2503.HK,中深建業,ipo_2023_02503,customer_concentration,164,,,,,,,,
ipo_2023_02503,2503.HK,中深建業,ipo_2023_02503,supplier_concentration,12,,,,,,,,
ipo_2020_09633,9633.HK,農夫山泉,ipo_2020_09633,continuous_loss,313,,,,,,,,
ipo_2020_09633,9633.HK,農夫山泉,ipo_2020_09633,revenue_growth,313,,,,,,,,
ipo_2020_09633,9633.HK,農夫山泉,ipo_2020_09633,customer_concentration,116,,,,,,,,
ipo_2020_09633,9633.HK,農夫山泉,ipo_2020_09633,supplier_concentration,141,,,,,,,,
real_case_001,2410.HK,同源康醫藥－Ｂ,real_case_001,cash_runway,562,,,,,,,,
real_case_001,2410.HK,同源康醫藥－Ｂ,real_case_001,cash_runway,563,,,,,,,,
real_case_001,2410.HK,同源康醫藥－Ｂ,real_case_001,continuous_loss,558,,,,,,,,
real_case_001,2410.HK,同源康醫藥－Ｂ,real_case_001,revenue_growth,558,,,,,,,,
