archive,file,size,compressed_size,parse_status,page_count,chunk_count,blank_page_count,error_type
2020_138份.zip,00368_30-06-2020_德合集團_股份發售.pdf,5045158,3961465,success,420,418,2,
2020_138份.zip,00589_28-02-2020_建中建設_股份發售.pdf,5143404,3686606,success,566,566,0,
2020_138份.zip,00873_20-10-2020_世茂服務_全球發售.pdf,11289564,7685885,success,634,634,0,
2020_138份.zip,00909_15-09-2020_明源雲_全球發售.pdf,9570557,5519760,success,619,619,0,
2020_138份.zip,01147_23-04-2020_伊登軟件_股份發售.pdf,4993713,3382489,success,458,457,1,
2020_138份.zip,01153_27-11-2020_佳源服務_全球發售.pdf,3864357,2838635,success,559,559,0,
2020_138份.zip,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,8043753,6967270,success,498,497,1,
2020_138份.zip,01163_29-06-2020_虎視傳媒_全球發售.pdf,6540229,5046918,success,421,421,0,
2020_138份.zip,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,7253132,5253445,success,520,519,1,
2020_138份.zip,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,3729421,2954709,success,599,597,2,
2020_138份.zip,01209_25-11-2020_華潤萬象生活_全球發售.pdf,9646090,7658371,success,576,575,1,
2020_138份.zip,01248_29-10-2020_天兆豬業_全球發售.pdf,4868059,3056237,success,594,594,0,
2020_138份.zip,01343_25-02-2020_偉源控股_股份發售.pdf,8652631,6838004,success,482,482,0,
2020_138份.zip,01351_28-10-2020_輝煌明天_股份發售.pdf,5656533,3881493,success,487,487,0,
2020_138份.zip,01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,5836699,3900021,success,454,453,1,
2020_138份.zip,01379_11-12-2020_温嶺工量刃具_全球發售.pdf,7902331,6378401,success,510,510,0,
2020_138份.zip,01408_31-08-2020_濠江機電_全球發售.pdf,3944369,3136054,success,503,503,0,
2020_138份.zip,01429_15-09-2020_天任集團_股份發售.pdf,9330537,5273180,success,494,494,0,
2020_138份.zip,01433_28-02-2020_常達控股_全球發售.pdf,3834875,2821055,success,486,484,2,
2020_138份.zip,01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,12558476,7870080,success,533,533,0,
2020_138份.zip,01449_27-07-2020_立德教育_全球發售.pdf,6612279,5677531,success,611,611,0,
2020_138份.zip,01455_31-08-2020_科利實業控股_全球發售.pdf,9977097,7778735,success,494,494,0,
2020_138份.zip,01463_17-03-2020_C-LINK SQ_股份發售.pdf,7360021,6169531,success,508,507,1,
2020_138份.zip,01472_28-02-2020_生興控股_股份發售.pdf,4816276,3376496,success,454,454,0,
2020_138份.zip,01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,10283461,7718063,success,578,576,2,
2020_138份.zip,01490_31-12-2020_CHESHI_全球發售.pdf,50273943,48643373,success,531,530,1,
2020_138份.zip,01502_19-06-2020_金融街物業_全球發售.pdf,6293087,4931312,success,576,576,0,
2020_138份.zip,01516_09-11-2020_融創服務_全球發售.pdf,5569445,3209808,success,668,668,0,
2020_138份.zip,01597_29-09-2020_納泉能源科技_全球發售.pdf,7454201,5576420,success,550,550,0,
2020_138份.zip,01643_31-12-2020_現代中藥集團_全球發售.pdf,8947356,6977132,success,563,563,0,
2020_138份.zip,01645_20-05-2020_海納智能_股份發售.pdf,8209508,5471644,success,430,429,1,
2020_138份.zip,01650_12-06-2020_HYGIEIA GROUP_以股份發售方式.pdf,8232873,7233715,success,453,453,0,
2020_138份.zip,01795_30-10-2020_亞東集團_股份發售.pdf,6483323,5104452,success,497,497,0,
2020_138份.zip,01855_22-12-2020_中邦環境_全球發售.pdf,50533847,48266931,success,746,744,2,
2020_138份.zip,01859_28-02-2020_煜盛文化_全球發售.pdf,5507865,5256826,success,426,425,1,
2020_138份.zip,01936_24-04-2020_RITAMIX_股份發售.pdf,24195534,18872104,success,430,429,1,
2020_138份.zip,01940_16-12-2020_CGII HLDGS_全球發售.pdf,13648224,12067502,success,553,551,2,
2020_138份.zip,01941_28-02-2020_燁星集團_全球發售.pdf,8900670,6544231,success,571,571,0,
