case_id,evidence_unit_id,risk_code,gold_physical_page,anchor_length,short_anchor_under_12_chars,anchor_found_expected_page,anchor_found_page_minus_1,anchor_found_page_plus_1,anchor_found_within_2_pages,anchor_found_any_page,matched_pages,match_count,parser_page_mapping_status,parser_text_preservation_status
ipo_2021_02190,c074f78aafe91652b17614377aec89e82e425185c5fe0abe6ef1dcb7b8f5c6dd,cash_runway,535,552,False,True,False,False,True,True,[535],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,5fb4eae05e58d66360260e64478048ae07c992b1f95ff62e63749754c8672ffc,cash_runway,571,124,False,True,False,False,True,True,[571],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,11a923f096de414f90c60c8f40ed2c69b2c284ee5c99d89747c196f9fab7688b,customer_concentration,349,541,False,True,False,False,True,True,[349],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,91930f4d77047256708f1b1267c0bff5d37f738615f678d8d897b3684e59dbad,customer_concentration,531,54,False,True,False,False,True,True,[531],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,38f77c0357b99834bcf634add4d1321f7e1bcf0e349885c312c1272837631041,redemption_rights,261,510,False,True,False,False,True,True,[261],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,d3dd604819f723cc74470d035ff15ae310f3ecb528fea27e1069fa5d9ccaf3a8,redemption_rights,262,219,False,True,False,False,True,True,[262],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,4bd927ac751ff3637d79189592aa519828f4d652b3a30e8977abef608bd241fe,supplier_concentration,350,164,False,True,False,False,True,True,[350],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2021_02190,9571cdd5911e839216bc628cd0202f31fa98d52813c0597ba4682d14a27e23b9,supplier_concentration,351,356,False,True,False,False,True,True,[351],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,71f70944117402e06dcf2b50dc7f8e4ef1acf4f3d93e64c96ec84a9f6f5f629c,cash_runway,314,89,False,True,False,False,True,True,[314],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,9413efe40d1ee6fe9771b57d637f140e9d7f9f164d3d3cfee45503ebd14902f7,cash_runway,316,93,False,True,False,False,True,True,[316],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,c65bbba7aba403dc1022bbac0824a85b6f8e87db8d491c10474f8645abdeeae6,cash_runway,350,88,False,True,False,False,True,True,[350],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,6949f90111cf2463f4c06b26a66c8d959a7746415dbacce43d8e703d82431aae,customer_concentration,136,376,False,True,False,False,True,True,[136],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,a065981f82a488df4cdd8ec35f698f6e5c6ae254622819340658529ef98a15a9,customer_concentration,309,24,False,True,False,False,True,True,[309],1,parser_preserved_expected_page,parser_preserved_expected_page
ipo_2020_00368,81cfe34f6889c48b0a41ed5d00e62ca00b4fa46d9059685e3d49de5342aef1b3,supplier_concentration,140,286,False,False,False,False,False,False,[],0,parser_anchor_missing_everywhere,parser_anchor_missing_everywhere
ipo_2020_00368,23dbd9235ac1b29d096eca4dc01f2bc044cf4433af5915ac2d76940addf72989,supplier_concentration,141,288,False,False,False,False,False,False,[],0,parser_anchor_missing_everywhere,parser_anchor_missing_everywhere
ipo_2020_00368,74135688673a7368f3ee651dc0a1d43fb24281fd26de9ea5d89948e1447981a6,supplier_concentration,142,288,False,False,False,False,False,False,[],0,parser_anchor_missing_everywhere,parser_anchor_missing_everywhere
