case_id,risk_code,evidence_unit_id,gold_page,parser_expected_page,parser_any_page,first_gold_page_rank,first_gold_anchor_rank,agent_consumed,candidate_risk_created,final_positive_risk,evidence_retained,predicted_page,page_match,anchor_match,m2_covered,primary_root_cause,proof_level,proof_artifact
ipo_2020_00368,cash_runway,71f70944117402e06dcf2b50dc7f8e4ef1acf4f3d93e64c96ec84a9f6f5f629c,314,True,True,,,False,False,False,False,,False,False,False,retrieval_candidate_miss,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,cash_runway,9413efe40d1ee6fe9771b57d637f140e9d7f9f164d3d3cfee45503ebd14902f7,316,True,True,,,False,False,False,False,,False,False,False,retrieval_candidate_miss,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,cash_runway,c65bbba7aba403dc1022bbac0824a85b6f8e87db8d491c10474f8645abdeeae6,350,True,True,,,False,False,False,False,,False,False,False,retrieval_candidate_miss,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,customer_concentration,6949f90111cf2463f4c06b26a66c8d959a7746415dbacce43d8e703d82431aae,136,True,True,,,False,False,False,False,,False,False,False,retrieval_candidate_miss,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,customer_concentration,a065981f82a488df4cdd8ec35f698f6e5c6ae254622819340658529ef98a15a9,309,True,True,19,19,False,False,False,False,,False,False,False,retrieval_ranking_or_topk_miss,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,supplier_concentration,81cfe34f6889c48b0a41ed5d00e62ca00b4fa46d9059685e3d49de5342aef1b3,140,False,False,2,,False,False,False,False,,False,False,False,parser_text_missing,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,supplier_concentration,23dbd9235ac1b29d096eca4dc01f2bc044cf4433af5915ac2d76940addf72989,141,False,False,,,False,False,False,False,,False,False,False,parser_text_missing,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_00368,supplier_concentration,74135688673a7368f3ee651dc0a1d43fb24281fd26de9ea5d89948e1447981a6,142,False,False,,,False,False,False,False,,False,False,False,parser_text_missing,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_01961,cash_runway,f429f22f410c9a9b6ca6e34068377e93ab8af039de63c49a1ed9590873c8b2ce,471,False,False,,,False,False,False,False,,False,False,False,parser_text_missing,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
ipo_2020_01961,cash_runway,599c2d996928b1024fb9f12f5010a8cdd58553701aa7b30e124db1940e7fd509,472,False,False,,,False,False,False,False,,False,False,False,parser_text_missing,PROVEN,parser_audit+pipeline_trace+analysis_result+evidence_benchmark
