case_id,stock_code,risk_unit_id,risk_code,gold_status,gold_level,gold_evidence_count,parser_status,candidate_status,first_gold_rank,agent_consumed,parser_anchor_available,candidate_evidence_count,agent_consumed_evidence_count,deterministic_candidate_present,llm_task_expected,llm_request_attempted,llm_request_success,llm_structured_valid,llm_scope_valid,llm_candidate_present,llm_applicable,llm_abstained,llm_failure_kind,extraction_status,builder_status,builder_risk_present,normalization_attempted,normalization_success,normalization_issue_codes,reconciliation_attempted,reconciliation_success,candidate_after_reconciliation,reconciliation_issue_codes,verifier_invoked,verifier_outcome,verifier_issue_codes,final_present,final_bucket,final_status,final_level,final_calculation_present,gold_calculation_key,gold_calculation_value,predicted_calculation_key,predicted_calculation_value,calculation_absolute_delta,calculation_relative_delta,calculation_unit,calculation_formula,calculation_match_reason,final_evidence_ids,status_match,level_match,calculation_match,evidence_hit,m1_correct,primary_root_cause,secondary_observations,proof_level,proof_artifact
ipo_2020_00368,0368.HK,a9ff19483455f95131acbdda3d553c7f23f88efe2e1ca7140bf81148be2abd06,cash_runway,verified,critical,3,preserved,"[""retrieval_candidate_miss""]",,False,True,0,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_candidate_miss,"[""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_00368,0368.HK,d551a4ecadb82ad502c4e4718292c21b0032c42a60ae3219b6e2ba6dbf973cbf,customer_concentration,verified,high,2,preserved,"[""retrieval_candidate_miss"", ""retrieval_ranking_or_topk_miss""]",19,False,True,20,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_ranking_or_topk_miss,"[""retrieval_candidate_miss"", ""retrieval_ranking_or_topk_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_00368,0368.HK,0c9bda3391e94334f38b8b6fd6bf0367915220351fb4e03e82390260dc3462b4,supplier_concentration,needs_review,,3,missing,"[""parser_anchor_missing_everywhere""]",,False,False,20,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,parser_text_missing,"[""no_anchor_preserved_any_page""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_01961,1961.HK,d8dd91d5e6f682ef8865a9af320edb8c3456133421edd0d74236f4c66fb93c57,cash_runway,verified,critical,2,missing,"[""parser_anchor_missing_everywhere""]",,False,False,0,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,parser_text_missing,"[""no_anchor_preserved_any_page""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_01961,1961.HK,a0b9db8fc8879f3a1c5cea67cc9ae247666ae8bab9118b174bf02584a4c8c986,redemption_rights,needs_review,medium,1,preserved,"[""retrieval_candidate_miss""]",,False,True,7,0,False,True,True,True,True,True,False,False,True,,needs_review,needs_review,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,rejected,"[""holder_not_supported_by_evidence"", ""historical_terminated_right_presented_as_current"", ""manual_legal_judgment_required""]",True,rejected,rejected,,False,,,,,,,,,RISK_NOT_POSITIVE,"[""1b30af22-4b0b-5034-889a-6ede22e0762b"", ""8137ae07-f1c4-5bb0-837f-6dcbda9c329c""]",False,False,False,False,False,retrieval_candidate_miss,"[""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_01961,1961.HK,a709d411c7b9dafaf19555a63f3e42ae93f748e2fe06ded9db49fbdf489a346d,supplier_concentration,verified,medium,2,preserved,"[""parser_anchor_missing_everywhere"", ""retrieval_candidate_miss""]",,False,True,20,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_candidate_miss,"[""parser_anchor_missing_everywhere"", ""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_09600,9600.HK,a3a39517afd21a16d542305dc6fc0b50b7f4c485ebd4ff37a198469d95fec02d,customer_concentration,verified,high,1,preserved,"[""agent_consumed_success""]",2,True,True,20,1,False,False,False,False,,,,,,,not_applicable,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,deterministic_extraction_miss,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_09600,9600.HK,e89d28be7f5977be943c4305fa12ea2def295abc14661092c209bd99ecf599d2,redemption_rights,needs_review,medium,1,preserved,"[""agent_consumed_success""]",1,True,True,3,1,False,True,True,True,True,True,False,False,False,,extracted,not_applicable,False,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,builder_not_applicable_misclassification,"[""historical_right_only""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2020_09600,9600.HK,bdb953a7b80472c161b2f5deec6c1b2fadc38344154130331d553aaf6e92b6d9,supplier_concentration,verified,high,1,preserved,"[""agent_consumed_success""]",1,True,True,20,1,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,deterministic_extraction_miss,"[""largest_percentage_exceeds_top_five""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_01024,1024.HK,0adfb8837f59ab3113b1217ca8642185dafc79ccfe3af379e492a324cb81e809,customer_concentration,needs_review,,2,preserved,"[""agent_consumed_success"", ""retrieval_candidate_miss""]",1,True,True,6,1,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,wrong_period_selection,"[""value_period_count_mismatch"", ""incomplete_concentration_values""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
