case,variant,gold_evidence_count,required_count,required_at_3,required_at_5,required_at_20,completion_at_5,mrr
ipo_2020_00368,v1,17,13,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.375,0.18498168498168496
ipo_2020_00368,v2,17,13,0.15384615384615385,0.3076923076923077,0.6923076923076923,0.25,0.19266929651545037
ipo_2020_00368,v21,17,13,0.15384615384615385,0.46153846153846156,0.5384615384615384,0.5,0.1412280701754386
ipo_2020_00368,stage1_union,17,13,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.375,0.20085470085470086
ipo_2020_00368,llm_rev4,17,13,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5,0.3418803418803419
ipo_2020_01167,v1,11,10,0.3,0.5,0.9,0.5,0.2181442577030812
ipo_2020_01167,v2,11,10,0.3,0.5,0.9,0.5,0.21713235294117647
ipo_2020_01167,v21,11,10,0.4,0.6,0.9,0.625,0.29718614718614716
ipo_2020_01167,stage1_union,11,10,0.3,0.6,1.0,0.625,0.2269079939668175
ipo_2020_01167,llm_rev4,11,10,0.5,0.7,1.0,0.625,0.4836111111111111
ipo_2020_01408,v1,21,14,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.25,0.2966165413533835
ipo_2020_01408,v2,21,14,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.25,0.3007936507936508
ipo_2020_01408,v21,21,14,0.5,0.5714285714285714,0.7142857142857143,0.5,0.25500541125541126
ipo_2020_01408,stage1_union,21,14,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.25,0.3007936507936508
ipo_2020_01408,llm_rev4,21,14,0.5,0.5714285714285714,0.6428571428571429,0.375,0.43888888888888894
ipo_2020_01942,v1,11,11,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.5,0.42045454545454547
ipo_2020_01942,v2,11,11,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.375,0.4053030303030303
ipo_2020_01942,v21,11,11,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.625,0.3212121212121212
ipo_2020_01942,stage1_union,11,11,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.5,0.42045454545454547
ipo_2020_01942,llm_rev4,11,11,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.625,0.4393939393939394
ipo_2020_01961,v1,12,10,0.3,0.3,0.3,0.25,0.18333333333333332
ipo_2020_01961,v2,12,10,0.2,0.3,0.3,0.25,0.16999999999999998
ipo_2020_01961,v21,12,10,0.2,0.3,0.3,0.25,0.09166666666666666
ipo_2020_01961,stage1_union,12,10,0.3,0.3,0.3,0.25,0.18333333333333332
ipo_2020_01961,llm_rev4,12,10,0.2,0.3,0.3,0.25,0.09166666666666666
ipo_2020_02057,v1,12,10,0.3,0.3,0.4,0.25,0.19333333333333333
ipo_2020_02057,v2,12,10,0.3,0.3,0.5,0.25,0.2
ipo_2020_02057,v21,12,10,0.3,0.3,0.4,0.25,0.19444444444444445
ipo_2020_02057,stage1_union,12,10,0.3,0.3,0.4,0.25,0.19333333333333333
ipo_2020_02057,llm_rev4,12,10,0.3,0.3,0.4,0.25,0.24333333333333332
ipo_2020_02135,v1,11,9,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.375,0.2936210847975554
ipo_2020_02135,v2,11,9,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.25,0.2740924652689359
ipo_2020_02135,v21,11,9,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.5,0.36856661856661854
ipo_2020_02135,stage1_union,11,9,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.375,0.2859972271736978
ipo_2020_02135,llm_rev4,11,9,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.625,0.4694989106753813
ipo_2020_02263,v1,15,13,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.25,0.2467948717948718
ipo_2020_02263,v2,15,13,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.25,0.23653846153846156
ipo_2020_02263,v21,15,13,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.375,0.3055555555555556
ipo_2020_02263,stage1_union,15,13,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.25,0.2467948717948718
ipo_2020_02263,llm_rev4,15,13,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.25,0.1866300366300366
ipo_2020_02599,v1,11,10,0.5,0.5,0.8,0.5,0.34816849816849815
ipo_2020_02599,v2,11,10,0.4,0.5,0.7,0.5,0.32588235294117646
ipo_2020_02599,v21,11,10,0.3,0.4,0.8,0.5,0.23745421245421244
ipo_2020_02599,stage1_union,11,10,0.5,0.5,0.8,0.5,0.34415204678362576
ipo_2020_02599,llm_rev4,11,10,0.5,0.7,0.8,0.625,0.49000000000000005
ipo_2021_00013,v1,22,16,0.3125,0.3125,0.3125,0.375,0.28125
ipo_2021_00013,v2,22,16,0.3125,0.3125,0.3125,0.375,0.28125
ipo_2021_00013,v21,22,16,0.3125,0.3125,0.3125,0.375,0.28125
ipo_2021_00013,stage1_union,22,16,0.3125,0.3125,0.3125,0.375,0.28125
ipo_2021_00013,llm_rev4,22,16,0.3125,0.3125,0.3125,0.375,0.19791666666666666
