domain,variant,gold_evidence_count,required_count,required_at_3,required_at_5,required_at_20,completion_at_5,mrr
business,v1,19,13,0.0,0.0,0.15384615384615385,0.0,0.01510989010989011
business,v2,19,13,0.0,0.0,0.07692307692307693,0.0,0.004807692307692308
business,v21,19,13,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.2,0.0706071706071706
business,stage1_union,19,13,0.0,0.0,0.15384615384615385,0.0,0.009763313609467455
business,llm_rev4,19,13,0.0,0.07692307692307693,0.15384615384615385,0.0,0.027777777777777776
financial,v1,78,73,0.4794520547945205,0.5342465753424658,0.6575342465753424,0.46,0.33423675296952365
financial,v2,78,73,0.4246575342465753,0.5205479452054794,0.7123287671232876,0.44,0.33275983126909797
financial,v21,78,73,0.3972602739726027,0.547945205479452,0.6438356164383562,0.52,0.29186950096286796
financial,stage1_union,78,73,0.4794520547945205,0.547945205479452,0.6986301369863014,0.48,0.34047973693420913
financial,llm_rev4,78,73,0.5342465753424658,0.6164383561643836,0.6986301369863014,0.54,0.40500780220764104
legal,v1,46,30,0.16666666666666666,0.3,0.5333333333333333,0.3,0.21224664224664222
legal,v2,46,30,0.16666666666666666,0.2,0.5333333333333333,0.2,0.19973856209150326
legal,v21,46,30,0.23333333333333334,0.36666666666666664,0.5333333333333333,0.4,0.22372812372812373
legal,stage1_union,46,30,0.16666666666666666,0.3,0.5333333333333333,0.3,0.207495126705653
legal,llm_rev4,46,30,0.26666666666666666,0.43333333333333335,0.5333333333333333,0.45,0.28
