risk,variant,gold_evidence_count,required_count,required_at_3,required_at_5,required_at_20,completion_at_5,mrr
cash_runway,v1,22,20,0.85,0.9,0.95,0.8,0.5337121212121212
cash_runway,v2,22,20,0.85,0.9,0.95,0.8,0.5337121212121212
cash_runway,v21,22,20,0.45,0.8,0.95,0.7,0.330021645021645
cash_runway,stage1_union,22,20,0.85,0.9,0.95,0.8,0.5337121212121212
cash_runway,llm_rev4,22,20,0.55,0.75,0.95,0.5,0.374781746031746
continuous_loss,v1,11,11,0.0,0.18181818181818182,0.45454545454545453,0.2,0.07272727272727274
continuous_loss,v2,11,11,0.0,0.09090909090909091,0.45454545454545453,0.1,0.06887052341597796
continuous_loss,v21,11,11,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5,0.38636363636363635
continuous_loss,stage1_union,11,11,0.0,0.18181818181818182,0.45454545454545453,0.2,0.07190082644628099
continuous_loss,llm_rev4,11,11,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5,0.38181818181818183
customer_concentration,v1,16,15,0.4,0.4666666666666667,0.5333333333333333,0.4,0.2646198830409357
customer_concentration,v2,16,15,0.26666666666666666,0.4666666666666667,0.7333333333333333,0.4,0.26767195767195767
customer_concentration,v21,16,15,0.4,0.4666666666666667,0.6666666666666666,0.5,0.2373471557682084
customer_concentration,stage1_union,16,15,0.4,0.5333333333333333,0.6666666666666666,0.5,0.2892592592592592
customer_concentration,llm_rev4,16,15,0.5333333333333333,0.6,0.6666666666666666,0.5,0.3762962962962963
material_litigation_compliance,v1,25,14,0.21428571428571427,0.42857142857142855,0.7142857142857143,0.4,0.26314756671899525
material_litigation_compliance,v2,25,14,0.21428571428571427,0.21428571428571427,0.7142857142857143,0.2,0.23634453781512604
material_litigation_compliance,v21,25,14,0.21428571428571427,0.42857142857142855,0.7142857142857143,0.4,0.26314756671899525
material_litigation_compliance,stage1_union,25,14,0.21428571428571427,0.42857142857142855,0.7142857142857143,0.4,0.25296574770258984
material_litigation_compliance,llm_rev4,25,14,0.21428571428571427,0.5714285714285714,0.7142857142857143,0.5,0.2833333333333333
precommercial_product,v1,19,13,0.0,0.0,0.15384615384615385,0.0,0.01510989010989011
precommercial_product,v2,19,13,0.0,0.0,0.07692307692307693,0.0,0.004807692307692308
precommercial_product,v21,19,13,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.2,0.0706071706071706
precommercial_product,stage1_union,19,13,0.0,0.0,0.15384615384615385,0.0,0.009763313609467455
precommercial_product,llm_rev4,19,13,0.0,0.07692307692307693,0.15384615384615385,0.0,0.027777777777777776
redemption_rights,v1,21,16,0.125,0.1875,0.375,0.2,0.16770833333333332
redemption_rights,v2,21,16,0.125,0.1875,0.375,0.2,0.16770833333333332
redemption_rights,v21,21,16,0.25,0.3125,0.375,0.4,0.1892361111111111
redemption_rights,stage1_union,21,16,0.125,0.1875,0.375,0.2,0.16770833333333332
redemption_rights,llm_rev4,21,16,0.3125,0.3125,0.375,0.4,0.27708333333333335
revenue_growth,v1,12,11,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.2,0.2080977845683728
revenue_growth,v2,12,11,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.2,0.20859728506787328
revenue_growth,v21,12,11,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2,0.11931818181818182
revenue_growth,stage1_union,12,11,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.2,0.20766488413547235
revenue_growth,llm_rev4,12,11,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5,0.3689839572192513
supplier_concentration,v1,17,16,0.625,0.625,0.625,0.7,0.4166666666666667
supplier_concentration,v2,17,16,0.5,0.625,0.6875,0.7,0.409375
supplier_concentration,v21,17,16,0.5625,0.625,0.625,0.7,0.3489583333333333
supplier_concentration,stage1_union,17,16,0.625,0.625,0.6875,0.7,0.42291666666666666
supplier_concentration,llm_rev4,17,16,0.6875,0.6875,0.6875,0.7,0.5104166666666666
