alert,alert_policy,available_model_feature_count,case_id,driver_count,failure_code,inference_run_id,input_feature_hash,listing_year,market_runtime_path,market_status,missing_model_features,model_status,score
False,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_00368,7,,04633e1668e0fb67790656fc7e599b0a1df6f0debd860d55ab4fd1e882c0cde8,51e1cdbb124b5f11a21357dd0c0e0da1897d3cd830c0977f4dafc8cebb169108,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.11097538265275621
True,v046_role_d_v2_single_case_alert_cutoff_v1,1,ipo_2020_00589,7,,52de66436b2a6deed760cfd59fd05aac9aae5b8ee45d9ab73cb77a38c29f9488,da2661b05175eb425f056b3995001ed4bde18f4f1b41dc9ee7205ed7013e02e9,2020,frozen,available,ipo_count_60d;recent_ipo_break_rate;recent_ipo_return_5d;same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.30485497299676095
True,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_00873,7,,bb10312877881e379513dad11777b8b01acdd248fe02ff2c700ac4a987b973cc,5a0916bc17d5f179c7953d30c7e5e05512dcb96fee8d797ed812f9be748265e0,2020,frozen,available,,available,0.4030126863941531
False,v046_role_d_v2_single_case_alert_cutoff_v1,5,ipo_2020_00909,7,,92ffaf9d74702ed4a0a4666561e6e988eed99cfb159001ac49d896bca984fa5b,ee8560a70d1b5f02a9421f5ea2dca6efae7ade5eb4aafa78d24128645f78ee79,2020,frozen,available,same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.17384648206599582
True,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01147,7,,d0ada90a6e676b0fc2031347e51a0655b858fb6ad8559503a943ecb218912fd8,f7d495e56d493ec941997772a3dc350daede126a27727fbebc20595e5786ba46,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.3469051922951145
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01153,7,,43c7c6621b33abf7e6cd853e93a82ce0bd867f119a5e0251e1bd79bdaca0df28,7fbc83846e6c5d015b59742efb9d578217cc30e6ce9a217c8dfb2bfcb661f824,2020,frozen,available,,available,0.15897334984773592
True,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01156,7,,32de6571df5c8666a04f44d1ac29b36a352e038e01149bfb9a07b77b7a4ce425,f4590124ca69e89da0eabc12eb8c03dd303f35d372ccf8c60bcaced43d7563a8,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.2464859783171936
False,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01163,7,,9e87e1e0981489dc25f9380962582c7e9ac6dc03eda71f79ba50c978ab8e2770,f861e406d201d786388c6a7a3db82dcc69d45cd44fe90cd06b650980921a73c6,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.14407138722907994
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01167,7,,cf5d821d133b35013b59d330946c7cac427467be5e0b61899a2e4ead93276e91,6f084e8cf90198d1142e4866651fabeb26eb44f7b7bffe7465392cafecdd6291,2020,frozen,available,,available,0.16932821219121258
True,v046_role_d_v2_single_case_alert_cutoff_v1,5,ipo_2020_01179,7,,933d2c91dd6c399adfe0befb316d7662bc308a967de624e1e7cf05939a351a34,e1b5de0cc87125d1afeea3523e4157bf75ff00fe189ff240c5e658d8acced3d3,2020,frozen,available,same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.2645852140961147
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01209,7,,ae8f12e733ef6423e858816bd1c8cfd8912125f531bc48442c62eb45be9af4da,d44ccbf6934627339782c4557269b4f2f403d2069b354fcbacc3e7ff45056f99,2020,frozen,available,,available,0.15897334984773592
False,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01248,7,,881bce943b8639c4a9b55a7d970f3349e87b04c4d133766aadd1c107655c42c1,cbffdc4102fc081382c263551651a3022a020275a21625656cfce86ad25eb639,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.06758820655236958
,,,ipo_2020_01343,0,every frozen model feature is missing for this case,,,2020,frozen,available,,unavailable,
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01351,7,,18373f7c8f395361e95bb8cdb5cdd2f5c4c7a0aab611821dd54b674874500980,79d28446ecf33326a90c5f21ea226632b5c24aedf1791664a87b1a2dbaa67578,2020,frozen,available,,available,0.06741330193350754
False,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01376,7,,4ff6ecedae1ad1146be70a11e8feb25166aa07da87f6a1e8c0fac4877c9dbdd9,62df52c1e2088f9713641d0459cdaccb773ca8124eee31cc84eef01404071833,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.18582882817087557
False,v046_role_d_v2_single_case_alert_cutoff_v1,5,ipo_2020_01379,7,,50292857356ae766c19c99eeb6c8e0bb1ec26cd65152c67f27ce140ee4c00df2,fcafd91c42c039e97af888295270826e9ef7ac72ca10c17f1cb2dc4e64548f50,2020,frozen,available,same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.052504403754932386
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01408,7,,eefd1262449bb22cc5862861e18e8f4ec680418f54b39d7da34e509d4bf901ed,2bf6bba885c3b58a9728fe5d6069d9c00d3764878938f1cdb27bf55f98fda802,2020,frozen,available,,available,0.1348138068716434
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01429,7,,995eabdcab2f37d86e6d7d3091514bb18f24f06b65063aca2e45d047d583a8fa,82b1e510ba858df853b282a0cfbf0a7f21933e0d22c73326a272680bd203664e,2020,frozen,available,,available,0.04672613593784872
,,,ipo_2020_01433,0,every frozen model feature is missing for this case,,,2020,frozen,available,,unavailable,
False,v046_role_d_v2_single_case_alert_cutoff_v1,5,ipo_2020_01440,7,,faf0c6992ad6e8d95bbdb36d7d883c4ff099df794d5350ce7270308690347728,91d1bba85ff42a4e1dd7b51b98b336d8d57e0618bdc0e4c38d044a35396b2fe5,2021,frozen,available,same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.2280160462205635
True,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01449,7,,16086efee6e7b5f737bad34740eccf960ac7047ba1ec4761c32e67294e26848c,1d11a954289e43cd282e5c2b3bd49cd10d5cb990aa1caaf04157a2834fb42936,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.297207527462937
False,v046_role_d_v2_single_case_alert_cutoff_v1,7,ipo_2020_01455,7,,9625fa40dd28fbef61cd6c42541677a57ad36ab6e30b08c01f0c9ecad748f2da,08f58875c0c3543d49f515ac64e6f5270bd1e7ef6d3514cb3925a3bbe6d9285b,2020,frozen,available,,available,0.16798869203636413
True,v046_role_d_v2_single_case_alert_cutoff_v1,1,ipo_2020_01463,7,,0c06de887c7c2ee926e04f7ac16d6d59efc8ac7152eddef9e3e040f983a4fa00,b02ace29ae9731dc775805f06eecaa009ea207d016bbc213eaf3228cbfc0a50e,2020,frozen,available,ipo_count_60d;recent_ipo_break_rate;recent_ipo_return_5d;same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.2641300446987924
True,v046_role_d_v2_single_case_alert_cutoff_v1,1,ipo_2020_01472,7,,abd6ca310c70e2635a55004c52ecf82c2d926b947db8b061b581b5001014920e,e8405edca6f2dd4703854231dcb6c8f3ec323486ef2ef384858f69e716d2d868,2020,frozen,available,ipo_count_60d;recent_ipo_break_rate;recent_ipo_return_5d;same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.4437501681549003
False,v046_role_d_v2_single_case_alert_cutoff_v1,4,ipo_2020_01477,7,,88908c9c81e54fcc905b314cd81de2032db0c6e90009dcc04c4e806e5e3e35c9,a0e4a05a09c29407c3eb1e130dd468d13903ff1818fe141f72e867043c3c57b9,2020,frozen,available,same_industry_ipo_count_180d;same_industry_recent_break_rate;same_industry_recent_return_5d,available,0.14407138722907994
