case_id,risk_family,retrieved_candidate_present,parser_text_present,candidate_count,parsed_period_candidate_count,parsed_period_candidates,parsed_value_candidate_count,selected_value_hashes,diagnostic_candidate_details_available,expected_metric_or_fact_type,expected_profile_status,selected_period,correct_period_candidate_present,correct_value_candidate_present,currency_unit_compatible,compatible_pair_exists,compatible_pair_count,same_period_conflict_detected,conflict_fields,selection_stage,selection_reason,earliest_failure_stage,classification,period_selection_bug
ipo_2020_00368,cash_runway,True,False,2,0,[],0,[],True,cash_runway,available,,False,False,False,False,0,False,[],deterministic_financial_extractor,,parser_text_missing,parser_text_missing,False
ipo_2020_00368,customer_concentration,True,True,11,0,[],5,"[""2f1dc184d4326dbf2c641a90abd21081669327fc8abc0aad23ef16a5a96b72f3"", ""a422c7216d1f05ba6a86a36f0fd33f52ee8830265eeffb049bc305254313f427"", ""a936c3033646856e7e36f175b4a98cfc438c563d9055c2bbb8c36bed74b83f38"", ""b0db2f8114556ace56b6445d328b0c527e772808691481880a2edbb92a370ab3"", ""e7d05d6130f46321d177c3b94f741b8a79289debffa6dfa7a8bd41a185e90e99""]",True,customer_concentration,available,,False,True,True,False,0,True,"[""financial_value""]",deterministic_financial_extractor,all_selected_candidates_fail_closed,period_candidate_missing,period_candidate_missing,False
ipo_2020_00368,supplier_concentration,True,True,8,0,[],2,"[""0f5c3ba5aa78dc3ecd65eae545ff003008f59a283a3fb63fbcc2c488a0c6ad51"", ""1001f17753ba319f94084fe586d79625ad1592ef7bca2a6d16348db321e54760"", ""e7d05d6130f46321d177c3b94f741b8a79289debffa6dfa7a8bd41a185e90e99""]",True,supplier_concentration,audited_fact_unavailable,,False,False,True,False,0,True,"[""financial_value""]",deterministic_financial_extractor,all_selected_candidates_fail_closed,deterministic_fact_missing,deterministic_fact_missing,False
ipo_2020_01961,cash_runway,True,False,2,0,[],0,[],True,cash_runway,available,,False,False,False,False,0,False,[],deterministic_financial_extractor,,parser_text_missing,parser_text_missing,False
ipo_2020_01961,supplier_concentration,True,True,5,0,[],5,"[""1bcea7f6c09b84153b7275084bd686dafe887db595535d484321ac15f35846e8"", ""431a4d316dd0fd07d8e845c4003f16b07b91b995335a53543da5c0a304b93700"", ""5ca779cb3d16afc10d8ca332e01dc5d4fba3dfa35e469a8824c784f6564b17f4""]",True,supplier_concentration,available,,False,False,True,False,0,True,"[""financial_value""]",deterministic_financial_extractor,all_selected_candidates_fail_closed,period_candidate_missing,period_candidate_missing,False
ipo_2020_09600,customer_concentration,True,False,0,0,[],0,[],False,customer_concentration,audited_fact_unavailable,2020-06-30,False,False,True,False,0,False,[],deterministic_financial_extractor,,deterministic_fact_missing,deterministic_fact_missing,False
ipo_2020_09600,supplier_concentration,True,True,5,3,"[{""period_end"": ""2020-06-30"", ""period_months"": 6}, {""period_end"": ""2020-12-31"", ""period_months"": 12}, {""period_end"": ""2023-09-12"", ""period_months"": null}]",3,"[""a879f9cabc8ad2a1141dbb20639ad631077e43d84ec7334293abc8028349326c""]",True,supplier_concentration,audited_fact_unavailable,2023-09-12,False,False,True,False,0,False,[],deterministic_financial_extractor,all_selected_candidates_fail_closed,deterministic_fact_missing,deterministic_fact_missing,False
ipo_2021_01024,customer_concentration,True,True,1,1,"[{""period_end"": ""2020-09-30"", ""period_months"": 9}]",1,"[""e58083da643a3b8f353d9da4e99ba8d2ac007ccf321aa4546b816d755c2a0393""]",True,customer_concentration,audited_fact_unavailable,2020-09-30,False,False,True,False,0,False,[],deterministic_financial_extractor,all_selected_candidates_fail_closed,deterministic_fact_missing,deterministic_fact_missing,False
ipo_2021_01024,supplier_concentration,True,True,1,1,"[{""period_end"": ""2020-09-30"", ""period_months"": 9}]",1,"[""135eb5647cc5749839b989b4e4f08483ed8eb8ef79680eaa6ac349b39893c1df""]",True,supplier_concentration,audited_fact_unavailable,2020-09-30,False,False,True,False,0,False,[],deterministic_financial_extractor,all_selected_candidates_fail_closed,deterministic_fact_missing,deterministic_fact_missing,False
ipo_2021_02190,cash_runway,True,True,2,1,"[{""period_end"": ""2020-12-31"", ""period_months"": null}]",1,"[""9399cd3e78167ad6b7e58dfcc1a57111d26421938e46f8af372f2230c4b71973""]",True,cash_runway,available,,True,False,False,False,0,False,[],deterministic_financial_extractor,,numeric_extraction_miss,numeric_extraction_miss,False
